FileName,SampleName,Treatment,Experiment
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FC1_S1_L001_R1_001_trimmed.fastq.gz,FC1,FC,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FC2_S2_L001_R1_001_trimmed.fastq.gz,FC2,FC,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FC3_S3_L001_R1_001_trimmed.fastq.gz,FC3,FC,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FK1_S4_L001_R1_001_trimmed.fastq.gz,FK1,FK,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FK2_S5_L001_R1_001_trimmed.fastq.gz,FK2,FK,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FK3_S6_L001_R1_001_trimmed.fastq.gz,FK3,FK,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FP1_S7_L002_R1_001_trimmed.fastq.gz,FP1,FP,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FP2_S8_L002_R1_001_trimmed.fastq.gz,FP2,FP,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FP3_S9_L002_R1_001_trimmed.fastq.gz,FP3,FP,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FV1_S10_L002_R1_001_trimmed.fastq.gz,FV1,FV,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FV2_S11_L002_R1_001_trimmed.fastq.gz,FV2,FV,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/FV3_S12_L002_R1_001_trimmed.fastq.gz,FV3,FV,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RC1_S13_L003_R1_001_trimmed.fastq.gz,RC1,RC,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RC2_S14_L003_R1_001_trimmed.fastq.gz,RC2,RC,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RC3_S15_L003_R1_001_trimmed.fastq.gz,RC3,RC,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RK1_S16_L003_R1_001_trimmed.fastq.gz,RK1,RK,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RK2_S17_L003_R1_001_trimmed.fastq.gz,RK2,RK,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RK3_S18_L003_R1_001_trimmed.fastq.gz,RK3,RK,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RP1_S19_L004_R1_001_trimmed.fastq.gz,RP1,RP,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RP2_S20_L004_R1_001_trimmed.fastq.gz,RP2,RP,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RP3_S21_L004_R1_001_trimmed.fastq.gz,RP3,RP,E3
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RV1_S22_L004_R1_001_trimmed.fastq.gz,RV1,RV,E1
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RV2_S23_L004_R1_001_trimmed.fastq.gz,RV2,RV,E2
/home/comtea/Documents/PHIM/BURKADAPT/ProjetTuteur-_BulkRNA/DATA/fastqtrimmed/RV3_S24_L004_R1_001_trimmed.fastq.gz,RV3,RV,E3
